airfoilForSB_1	
%	
1	0
0.948971192	0.003514303
0.897961884	0.007300957
0.846978027	0.011414974
0.796034433	0.015999879
0.745163995	0.02133067
0.694426624	0.027800763
0.64389302	0.035704341
0.593581081	0.044918776
0.543391082	0.054780504
0.49314255	0.064336805
0.442681768	0.072691138
0.391951057	0.079196134
0.340977508	0.083372864
0.289853776	0.084734866
0.238758398	0.082651884
0.188012412	0.076377609
0.138122892	0.065198372
0.089744172	0.048673826
0.043534488	0.026805485
0	0
0.045376661	-0.022019832
0.093930101	-0.035724579
0.143938752	-0.042619611
0.194359589	-0.045445905
0.244855146	-0.046499039
0.295359298	-0.047034625
0.345864194	-0.047473231
0.396370745	-0.047730534
0.446877224	-0.047561224
0.497377412	-0.046756088
0.547859517	-0.045167851
0.598305601	-0.042713244
0.648701934	-0.039380742
0.699038247	-0.035236823
0.749313309	-0.030405479
0.799533821	-0.025031436
0.849707299	-0.019240125
0.899841184	-0.013113222
0.949938602	-0.006694027
1	0
