airfoilForSB_middle_nozzle1	
%	
1	0
0.951050288	0.014370406
0.901772788	0.027573242
0.852193462	0.039593122
0.802337452	0.050407362
0.752228365	0.059980829
0.701889904	0.068263047
0.651347019	0.075188359
0.600628125	0.080676695
0.549767212	0.084634453
0.498805673	0.086955901
0.447794856	0.087527085
0.396797524	0.086233227
0.345888846	0.082966773
0.29515512	0.077635186
0.244691779	0.070168035
0.194599483	0.060521581
0.144981394	0.048675709
0.095941286	0.034627948
0.047581569	0.018391968
0	0
0.048970754	-0.011919364
0.098371406	-0.021908588
0.148120901	-0.029984246
0.198132728	-0.036236587
0.248323389	-0.040844588
0.298623486	-0.044053585
0.348983197	-0.046139417
0.399371298	-0.047375646
0.449770865	-0.048003945
0.500174087	-0.048208122
0.550577596	-0.048089105
0.600979183	-0.047639678
0.651374183	-0.046721133
0.701749856	-0.045062503
0.752076442	-0.042301926
0.80229726	-0.038040676
0.852322212	-0.031901791
0.9020325	-0.023595149
0.951298846	-0.012969428
1	0
